Date,Confirmed,Death,Recovered
22/01/2020,555,17,28
23/01/2020,653,18,30
24/01/2020,941,26,36
25/01/2020,1434,42,39
26/01/2020,2118,56,52
27/01/2020,2927,82,61
28/01/2020,5578,131,107
29/01/2020,6166,133,126
30/01/2020,8234,171,143
31/01/2020,9927,213,222
01/02/2020,12038,259,284
02/02/2020,16787,362,472
03/02/2020,19881,426,623
04/02/2020,23892,492,852
05/02/2020,27635,564,1124
06/02/2020,30817,634,1487
07/02/2020,34391,719,2011
08/02/2020,37120,806,2616
09/02/2020,40150,906,3244
10/02/2020,42762,1013,3946
11/02/2020,44802,1113,4683
12/02/2020,45221,1118,5150
13/02/2020,60368,1371,6295
14/02/2020,66885,1523,8058
15/02/2020,69030,1666,9395
16/02/2020,71224,1770,10865
17/02/2020,73258,1868,12583
18/02/2020,75136,2007,14352
19/02/2020,75639,2122,16121
20/02/2020,76197,2247,18177
21/02/2020,76823,2251,18890
22/02/2020,78579,2458,22886
23/02/2020,78965,2469,23394
24/02/2020,79568,2629,25227
25/02/2020,80413,2708,27905
26/02/2020,81395,2770,30384
27/02/2020,82754,2814,33277
28/02/2020,84120,2872,36711
29/02/2020,86011,2941,39782
01/03/2020,88369,2996,42716
02/03/2020,90306,3085,45602
03/03/2020,92840,3160,48228
04/03/2020,95120,3254,51170
05/03/2020,97882,3348,53796
06/03/2020,101784,3460,55865
07/03/2020,105821,3558,58358
08/03/2020,109795,3802,60694
09/03/2020,113561,3988,62494
10/03/2020,118592,4262,64404
11/03/2020,125865,4615,67003
12/03/2020,128343,4720,68324
13/03/2020,145193,5404,70251
14/03/2020,156094,5819,72624
15/03/2020,167446,6440,76034
16/03/2020,181527,7126,78088
17/03/2020,197142,7905,80840
18/03/2020,214910,8733,83207
19/03/2020,242708,9867,84854
20/03/2020,272166,11299,87256
